sample,replicate,sample_label,point_index,height,distance_mm,force_N,strain_percent,stress_mPa
1,1,sample 1 replicate 1,1,2.099999999999998,0.0,0.0313,0.0,0.1226
1,1,sample 1 replicate 1,2,2.099999999999998,0.05,0.0396,2.381,0.1552
1,1,sample 1 replicate 1,3,2.099999999999998,0.1,0.0543,4.7619,0.2128
1,1,sample 1 replicate 1,4,2.099999999999998,0.15,0.0584,7.1429,0.2288
1,1,sample 1 replicate 1,5,2.099999999999998,0.2,0.0647,9.5238,0.2535
1,1,sample 1 replicate 1,6,2.099999999999998,0.25,0.0689,11.9048,0.27
1,1,sample 1 replicate 1,7,2.099999999999998,0.3,0.071,14.2857,0.2782
1,1,sample 1 replicate 1,8,2.099999999999998,0.35,0.0751,16.6667,0.2943
1,1,sample 1 replicate 1,9,2.099999999999998,0.4,0.0835,19.0476,0.3272
1,1,sample 1 replicate 1,10,2.099999999999998,0.45,0.0897,21.4286,0.3515
1,1,sample 1 replicate 1,11,2.099999999999998,0.5,0.0981,23.8095,0.3844
1,1,sample 1 replicate 1,12,2.099999999999998,0.55,0.1043,26.1905,0.4087
1,1,sample 1 replicate 1,13,2.099999999999998,0.6,0.1169,28.5714,0.4581
1,1,sample 1 replicate 1,14,2.099999999999998,0.65,0.119,30.9524,0.4663
1,1,sample 1 replicate 1,15,2.099999999999998,0.7,0.1252,33.3333,0.4906
1,1,sample 1 replicate 1,16,2.099999999999998,0.75,0.1294,35.7143,0.5071
1,1,sample 1 replicate 1,17,2.099999999999998,0.8,0.1357,38.0952,0.5317
1,1,sample 1 replicate 1,18,2.099999999999998,0.85,0.1398,40.4762,0.5478
1,1,sample 1 replicate 1,19,2.099999999999998,0.9,0.1482,42.8571,0.5807
1,1,sample 1 replicate 1,20,2.099999999999998,0.95,0.1711,45.2381,0.6705
1,1,sample 1 replicate 1,21,2.099999999999998,1.0,0.2024,47.619,0.7931
1,1,sample 1 replicate 1,22,2.099999999999998,1.05,0.217,50.0,0.8503
1,1,sample 1 replicate 1,23,2.099999999999998,1.1,0.2358,52.381,0.924
1,1,sample 1 replicate 1,24,2.099999999999998,1.15,0.2484,54.7619,0.9734
1,1,sample 1 replicate 1,25,2.099999999999998,1.2,0.2588,57.1429,1.0141
1,1,sample 1 replicate 1,26,2.099999999999998,1.25,0.2692,59.5238,1.0549
1,1,sample 1 replicate 1,27,2.099999999999998,1.3,0.3005,61.9048,1.1775
1,1,sample 1 replicate 1,28,2.099999999999998,1.35,0.3444,64.2857,1.3495
1,1,sample 1 replicate 1,29,2.099999999999998,1.4,0.3444,66.6667,1.3495
1,1,sample 1 replicate 1,30,2.099999999999998,1.45,0.3924,69.0476,1.5376
1,1,sample 1 replicate 1,31,2.099999999999998,1.5,0.4132,71.4286,1.6191
1,1,sample 1 replicate 1,32,2.099999999999998,1.55,0.5134,73.8095,2.0118
1,1,sample 1 replicate 1,33,2.099999999999998,1.6,0.5927,76.1905,2.3225
1,1,sample 1 replicate 1,34,2.099999999999998,1.65,0.6825,78.5714,2.6744
1,1,sample 1 replicate 1,35,2.099999999999998,1.7,0.1315,80.9524,0.5153
2,1,sample 2 replicate 1,1,2.25,0.0,0.0209,0.0,0.0819
2,1,sample 2 replicate 1,2,2.25,0.05,0.0271,2.2222,0.1062
2,1,sample 2 replicate 1,3,2.25,0.1,0.0501,4.4444,0.1963
2,1,sample 2 replicate 1,4,2.25,0.15,0.0459,6.6667,0.1799
2,1,sample 2 replicate 1,5,2.25,0.2,0.0522,8.8889,0.2045
2,1,sample 2 replicate 1,6,2.25,0.25,0.0626,11.1111,0.2453
2,1,sample 2 replicate 1,7,2.25,0.3,0.071,13.3333,0.2782
2,1,sample 2 replicate 1,8,2.25,0.35,0.0751,15.5556,0.2943
2,1,sample 2 replicate 1,9,2.25,0.4,0.0793,17.7778,0.3107
2,1,sample 2 replicate 1,10,2.25,0.45,0.0856,20.0,0.3354
2,1,sample 2 replicate 1,11,2.25,0.5,0.0939,22.2222,0.3679
2,1,sample 2 replicate 1,12,2.25,0.55,0.1043,24.4444,0.4087
2,1,sample 2 replicate 1,13,2.25,0.6,0.1085,26.6667,0.4252
2,1,sample 2 replicate 1,14,2.25,0.65,0.119,28.8889,0.4663
2,1,sample 2 replicate 1,15,2.25,0.7,0.121,31.1111,0.4741
2,1,sample 2 replicate 1,16,2.25,0.75,0.1273,33.3333,0.4988
2,1,sample 2 replicate 1,17,2.25,0.8,0.1294,35.5556,0.5071
2,1,sample 2 replicate 1,18,2.25,0.85,0.1357,37.7778,0.5317
2,1,sample 2 replicate 1,19,2.25,0.9,0.1482,40.0,0.5807
2,1,sample 2 replicate 1,20,2.25,0.95,0.169,42.2222,0.6622
2,1,sample 2 replicate 1,21,2.25,1.0,0.1857,44.4444,0.7277
2,1,sample 2 replicate 1,22,2.25,1.05,0.2004,46.6667,0.7853
2,1,sample 2 replicate 1,23,2.25,1.1,0.2212,48.8889,0.8668
2,1,sample 2 replicate 1,24,2.25,1.15,0.2358,51.1111,0.924
2,1,sample 2 replicate 1,25,2.25,1.2,0.2442,53.3333,0.9569
2,1,sample 2 replicate 1,26,2.25,1.25,0.2546,55.5556,0.9976
2,1,sample 2 replicate 1,27,2.25,1.3,0.2713,57.7778,1.0631
2,1,sample 2 replicate 1,28,2.25,1.35,0.2984,60.0,1.1693
2,1,sample 2 replicate 1,29,2.25,1.4,0.2922,62.2222,1.145
2,1,sample 2 replicate 1,30,2.25,1.45,0.3631,64.4444,1.4228
2,1,sample 2 replicate 1,31,2.25,1.5,0.3924,66.6667,1.5376
2,1,sample 2 replicate 1,32,2.25,1.55,0.3673,68.8889,1.4393
2,1,sample 2 replicate 1,33,2.25,1.6,0.4132,71.1111,1.6191
2,1,sample 2 replicate 1,34,2.25,1.65,0.2024,73.3333,0.7931
3,1,sample 3 replicate 1,1,2.099999999999998,0.0,0.0334,0.0,0.1309
3,1,sample 3 replicate 1,2,2.099999999999998,0.05,0.0522,2.381,0.2045
3,1,sample 3 replicate 1,3,2.099999999999998,0.1,0.0564,4.7619,0.221
3,1,sample 3 replicate 1,4,2.099999999999998,0.15,0.0668,7.1429,0.2618
3,1,sample 3 replicate 1,5,2.099999999999998,0.2,0.0751,9.5238,0.2943
3,1,sample 3 replicate 1,6,2.099999999999998,0.25,0.073,11.9048,0.2861
3,1,sample 3 replicate 1,7,2.099999999999998,0.3,0.0835,14.2857,0.3272
3,1,sample 3 replicate 1,8,2.099999999999998,0.35,0.0939,16.6667,0.3679
3,1,sample 3 replicate 1,9,2.099999999999998,0.4,0.1023,19.0476,0.4009
3,1,sample 3 replicate 1,10,2.099999999999998,0.45,0.1085,21.4286,0.4252
3,1,sample 3 replicate 1,11,2.099999999999998,0.5,0.1127,23.8095,0.4416
3,1,sample 3 replicate 1,12,2.099999999999998,0.55,0.1169,26.1905,0.4581
3,1,sample 3 replicate 1,13,2.099999999999998,0.6,0.1231,28.5714,0.4824
3,1,sample 3 replicate 1,14,2.099999999999998,0.65,0.1294,30.9524,0.5071
3,1,sample 3 replicate 1,15,2.099999999999998,0.7,0.1357,33.3333,0.5317
3,1,sample 3 replicate 1,16,2.099999999999998,0.75,0.1482,35.7143,0.5807
3,1,sample 3 replicate 1,17,2.099999999999998,0.8,0.1628,38.0952,0.6379
3,1,sample 3 replicate 1,18,2.099999999999998,0.85,0.1649,40.4762,0.6462
3,1,sample 3 replicate 1,19,2.099999999999998,0.9,0.2004,42.8571,0.7853
3,1,sample 3 replicate 1,20,2.099999999999998,0.95,0.2045,45.2381,0.8013
3,1,sample 3 replicate 1,21,2.099999999999998,1.0,0.2254,47.619,0.8832
3,1,sample 3 replicate 1,22,2.099999999999998,1.05,0.2358,50.0,0.924
3,1,sample 3 replicate 1,23,2.099999999999998,1.1,0.2567,52.381,1.0059
3,1,sample 3 replicate 1,24,2.099999999999998,1.15,0.263,54.7619,1.0306
3,1,sample 3 replicate 1,25,2.099999999999998,1.2,0.2922,57.1429,1.145
3,1,sample 3 replicate 1,26,2.099999999999998,1.25,0.2838,59.5238,1.1121
3,1,sample 3 replicate 1,27,2.099999999999998,1.3,0.3381,61.9048,1.3248
3,1,sample 3 replicate 1,28,2.099999999999998,1.35,0.3757,64.2857,1.4722
3,1,sample 3 replicate 1,29,2.099999999999998,1.4,0.4132,66.6667,1.6191
3,1,sample 3 replicate 1,30,2.099999999999998,1.45,0.4675,69.0476,1.8319
3,1,sample 3 replicate 1,31,2.099999999999998,1.5,0.5864,71.4286,2.2978
3,1,sample 3 replicate 1,32,2.099999999999998,1.55,0.6658,73.8095,2.6089
3,1,sample 3 replicate 1,33,2.099999999999998,1.6,0.1294,76.1905,0.5071
1,2,sample 1 replicate 2,1,2.4499999999999993,0.0,0.0146,0.0,0.0572
1,2,sample 1 replicate 2,2,2.4499999999999993,0.05,0.0355,2.0408,0.1391
1,2,sample 1 replicate 2,3,2.4499999999999993,0.1,0.073,4.0816,0.2861
1,2,sample 1 replicate 2,4,2.4499999999999993,0.15,0.0981,6.1224,0.3844
1,2,sample 1 replicate 2,5,2.4499999999999993,0.2,0.1127,8.1633,0.4416
1,2,sample 1 replicate 2,6,2.4499999999999993,0.25,0.1252,10.2041,0.4906
1,2,sample 1 replicate 2,7,2.4499999999999993,0.3,0.1357,12.2449,0.5317
1,2,sample 1 replicate 2,8,2.4499999999999993,0.35,0.1565,14.2857,0.6132
1,2,sample 1 replicate 2,9,2.4499999999999993,0.4,0.1878,16.3265,0.7359
1,2,sample 1 replicate 2,10,2.4499999999999993,0.45,0.217,18.3673,0.8503
1,2,sample 1 replicate 2,11,2.4499999999999993,0.5,0.2421,20.4082,0.9487
1,2,sample 1 replicate 2,12,2.4499999999999993,0.55,0.2609,22.449,1.0223
1,2,sample 1 replicate 2,13,2.4499999999999993,0.6,0.2692,24.4898,1.0549
1,2,sample 1 replicate 2,14,2.4499999999999993,0.65,0.2838,26.5306,1.1121
1,2,sample 1 replicate 2,15,2.4499999999999993,0.7,0.3172,28.5714,1.2429
1,2,sample 1 replicate 2,16,2.4499999999999993,0.75,0.359,30.6122,1.4067
1,2,sample 1 replicate 2,17,2.4499999999999993,0.8,0.3777,32.6531,1.48
1,2,sample 1 replicate 2,18,2.4499999999999993,0.85,0.3965,34.6939,1.5537
1,2,sample 1 replicate 2,19,2.4499999999999993,0.9,0.4091,36.7347,1.6031
1,2,sample 1 replicate 2,20,2.4499999999999993,0.95,0.4571,38.7755,1.7911
1,2,sample 1 replicate 2,21,2.4499999999999993,1.0,0.4967,40.8163,1.9463
1,2,sample 1 replicate 2,22,2.4499999999999993,1.05,0.5259,42.8571,2.0607
1,2,sample 1 replicate 2,23,2.4499999999999993,1.1,0.5531,44.898,2.1673
1,2,sample 1 replicate 2,24,2.4499999999999993,1.15,0.6073,46.9388,2.3797
1,2,sample 1 replicate 2,25,2.4499999999999993,1.2,0.6511,48.9796,2.5513
1,2,sample 1 replicate 2,26,2.4499999999999993,1.25,0.6783,51.0204,2.6579
1,2,sample 1 replicate 2,27,2.4499999999999993,1.3,0.7409,53.0612,2.9032
1,2,sample 1 replicate 2,28,2.4499999999999993,1.35,0.7889,55.102,3.0913
1,2,sample 1 replicate 2,29,2.4499999999999993,1.4,0.8265,57.1429,3.2386
1,2,sample 1 replicate 2,30,2.4499999999999993,1.45,0.8974,59.1837,3.5165
1,2,sample 1 replicate 2,31,2.4499999999999993,1.5,0.9454,61.2245,3.7045
1,2,sample 1 replicate 2,32,2.4499999999999993,1.55,1.0247,63.2653,4.0153
1,2,sample 1 replicate 2,33,2.4499999999999993,1.6,1.0999,65.3061,4.31
1,2,sample 1 replicate 2,34,2.4499999999999993,1.65,1.1792,67.3469,4.6207
1,2,sample 1 replicate 2,35,2.4499999999999993,1.7,1.2689,69.3878,4.9722
1,2,sample 1 replicate 2,36,2.4499999999999993,1.75,1.3482,71.4286,5.2829
1,2,sample 1 replicate 2,37,2.4499999999999993,1.8,1.4463,73.4694,5.6673
1,2,sample 1 replicate 2,38,2.4499999999999993,1.85,1.5465,75.5102,6.06
1,2,sample 1 replicate 2,39,2.4499999999999993,1.9,1.6675,77.551,6.5341
1,2,sample 1 replicate 2,40,2.4499999999999993,1.95,1.8533,79.5918,7.2621
1,2,sample 1 replicate 2,41,2.4499999999999993,2.0,1.943,81.6327,7.6136
1,2,sample 1 replicate 2,42,2.4499999999999993,2.05,0.4884,83.6735,1.9138
2,2,sample 2 replicate 2,1,2.4499999999999993,0.0,0.0021,0.0,0.0082
2,2,sample 2 replicate 2,2,2.4499999999999993,0.05,0.0146,2.0408,0.0572
2,2,sample 2 replicate 2,3,2.4499999999999993,0.1,0.0459,4.0816,0.1799
2,2,sample 2 replicate 2,4,2.4499999999999993,0.15,0.0751,6.1224,0.2943
2,2,sample 2 replicate 2,5,2.4499999999999993,0.2,0.1023,8.1633,0.4009
2,2,sample 2 replicate 2,6,2.4499999999999993,0.25,0.119,10.2041,0.4663
2,2,sample 2 replicate 2,7,2.4499999999999993,0.3,0.1315,12.2449,0.5153
2,2,sample 2 replicate 2,8,2.4499999999999993,0.35,0.1482,14.2857,0.5807
2,2,sample 2 replicate 2,9,2.4499999999999993,0.4,0.1753,16.3265,0.6869
2,2,sample 2 replicate 2,10,2.4499999999999993,0.45,0.2066,18.3673,0.8096
2,2,sample 2 replicate 2,11,2.4499999999999993,0.5,0.2233,20.4082,0.875
2,2,sample 2 replicate 2,12,2.4499999999999993,0.55,0.2504,22.449,0.9812
2,2,sample 2 replicate 2,13,2.4499999999999993,0.6,0.263,24.4898,1.0306
2,2,sample 2 replicate 2,14,2.4499999999999993,0.65,0.2734,26.5306,1.0713
2,2,sample 2 replicate 2,15,2.4499999999999993,0.7,0.3151,28.5714,1.2347
2,2,sample 2 replicate 2,16,2.4499999999999993,0.75,0.3464,30.6122,1.3574
2,2,sample 2 replicate 2,17,2.4499999999999993,0.8,0.3819,32.6531,1.4965
2,2,sample 2 replicate 2,18,2.4499999999999993,0.85,0.3924,34.6939,1.5376
2,2,sample 2 replicate 2,19,2.4499999999999993,0.9,0.4091,36.7347,1.6031
2,2,sample 2 replicate 2,20,2.4499999999999993,0.95,0.4612,38.7755,1.8072
2,2,sample 2 replicate 2,21,2.4499999999999993,1.0,0.503,40.8163,1.971
2,2,sample 2 replicate 2,22,2.4499999999999993,1.05,0.5301,42.8571,2.0772
2,2,sample 2 replicate 2,23,2.4499999999999993,1.1,0.5572,44.898,2.1834
2,2,sample 2 replicate 2,24,2.4499999999999993,1.15,0.6052,46.9388,2.3715
2,2,sample 2 replicate 2,25,2.4499999999999993,1.2,0.6511,48.9796,2.5513
2,2,sample 2 replicate 2,26,2.4499999999999993,1.25,0.6804,51.0204,2.6661
2,2,sample 2 replicate 2,27,2.4499999999999993,1.3,0.743,53.0612,2.9114
2,2,sample 2 replicate 2,28,2.4499999999999993,1.35,0.7952,55.102,3.116
2,2,sample 2 replicate 2,29,2.4499999999999993,1.4,0.8494,57.1429,3.3284
2,2,sample 2 replicate 2,30,2.4499999999999993,1.45,0.9037,59.1837,3.5411
2,2,sample 2 replicate 2,31,2.4499999999999993,1.5,0.9392,61.2245,3.6803
2,2,sample 2 replicate 2,32,2.4499999999999993,1.55,1.0018,63.2653,3.9255
2,2,sample 2 replicate 2,33,2.4499999999999993,1.6,1.0748,65.3061,4.2116
2,2,sample 2 replicate 2,34,2.4499999999999993,1.65,1.1583,67.3469,4.5388
2,2,sample 2 replicate 2,35,2.4499999999999993,1.7,1.2272,69.3878,4.8088
2,2,sample 2 replicate 2,36,2.4499999999999993,1.75,1.3106,71.4286,5.1356
2,2,sample 2 replicate 2,37,2.4499999999999993,1.8,1.4129,73.4694,5.5364
2,2,sample 2 replicate 2,38,2.4499999999999993,1.85,1.5402,75.5102,6.0353
2,2,sample 2 replicate 2,39,2.4499999999999993,1.9,1.6947,77.551,6.6407
2,2,sample 2 replicate 2,40,2.4499999999999993,1.95,1.7155,79.5918,6.7222
2,2,sample 2 replicate 2,41,2.4499999999999993,2.0,1.87,81.6327,7.3276
2,2,sample 2 replicate 2,42,2.4499999999999993,2.05,0.5197,83.6735,2.0364
3,2,sample 3 replicate 2,1,2.4499999999999993,0.0,0.0083,0.0,0.0325
3,2,sample 3 replicate 2,2,2.4499999999999993,0.05,0.0188,2.0408,0.0737
3,2,sample 3 replicate 2,3,2.4499999999999993,0.1,0.048,4.0816,0.1881
3,2,sample 3 replicate 2,4,2.4499999999999993,0.15,0.0751,6.1224,0.2943
3,2,sample 3 replicate 2,5,2.4499999999999993,0.2,0.1064,8.1633,0.4169
3,2,sample 3 replicate 2,6,2.4499999999999993,0.25,0.1231,10.2041,0.4824
3,2,sample 3 replicate 2,7,2.4499999999999993,0.3,0.1315,12.2449,0.5153
3,2,sample 3 replicate 2,8,2.4499999999999993,0.35,0.1544,14.2857,0.605
3,2,sample 3 replicate 2,9,2.4499999999999993,0.4,0.1774,16.3265,0.6951
3,2,sample 3 replicate 2,10,2.4499999999999993,0.45,0.2087,18.3673,0.8178
3,2,sample 3 replicate 2,11,2.4499999999999993,0.5,0.2275,20.4082,0.8915
3,2,sample 3 replicate 2,12,2.4499999999999993,0.55,0.2609,22.449,1.0223
3,2,sample 3 replicate 2,13,2.4499999999999993,0.6,0.2692,24.4898,1.0549
3,2,sample 3 replicate 2,14,2.4499999999999993,0.65,0.288,26.5306,1.1285
3,2,sample 3 replicate 2,15,2.4499999999999993,0.7,0.3277,28.5714,1.2841
3,2,sample 3 replicate 2,16,2.4499999999999993,0.75,0.3631,30.6122,1.4228
3,2,sample 3 replicate 2,17,2.4499999999999993,0.8,0.3903,32.6531,1.5294
3,2,sample 3 replicate 2,18,2.4499999999999993,0.85,0.4007,34.6939,1.5701
3,2,sample 3 replicate 2,19,2.4499999999999993,0.9,0.4508,36.7347,1.7665
3,2,sample 3 replicate 2,20,2.4499999999999993,0.95,0.4925,38.7755,1.9299
3,2,sample 3 replicate 2,21,2.4499999999999993,1.0,0.528,40.8163,2.069
3,2,sample 3 replicate 2,22,2.4499999999999993,1.05,0.5489,42.8571,2.1509
3,2,sample 3 replicate 2,23,2.4499999999999993,1.1,0.5948,44.898,2.3307
3,2,sample 3 replicate 2,24,2.4499999999999993,1.15,0.6365,46.9388,2.4941
3,2,sample 3 replicate 2,25,2.4499999999999993,1.2,0.6678,48.9796,2.6168
3,2,sample 3 replicate 2,26,2.4499999999999993,1.25,0.7305,51.0204,2.8625
3,2,sample 3 replicate 2,27,2.4499999999999993,1.3,0.7805,53.0612,3.0584
3,2,sample 3 replicate 2,28,2.4499999999999993,1.35,0.8181,55.102,3.2057
3,2,sample 3 replicate 2,29,2.4499999999999993,1.4,0.9016,57.1429,3.5329
3,2,sample 3 replicate 2,30,2.4499999999999993,1.45,0.9475,59.1837,3.7128
3,2,sample 3 replicate 2,31,2.4499999999999993,1.5,1.0289,61.2245,4.0317
3,2,sample 3 replicate 2,32,2.4499999999999993,1.55,1.1124,63.2653,4.3589
3,2,sample 3 replicate 2,33,2.4499999999999993,1.6,1.2105,65.3061,4.7433
3,2,sample 3 replicate 2,34,2.4499999999999993,1.65,1.3023,67.3469,5.1031
3,2,sample 3 replicate 2,35,2.4499999999999993,1.7,1.4087,69.3878,5.52
3,2,sample 3 replicate 2,36,2.4499999999999993,1.75,1.5193,71.4286,5.9534
3,2,sample 3 replicate 2,37,2.4499999999999993,1.8,1.6279,73.4694,6.3789
3,2,sample 3 replicate 2,38,2.4499999999999993,1.85,1.7886,75.5102,7.0086
3,2,sample 3 replicate 2,39,2.4499999999999993,1.9,0.407,77.551,1.5948
1,3,sample 1 replicate 3,1,2.349999999999998,0.0,0.0104,0.0,0.0408
1,3,sample 1 replicate 3,2,2.349999999999998,0.05,0.0417,2.1277,0.1634
1,3,sample 1 replicate 3,3,2.349999999999998,0.1,0.0897,4.2553,0.3515
1,3,sample 1 replicate 3,4,2.349999999999998,0.15,0.1294,6.383,0.5071
1,3,sample 1 replicate 3,5,2.349999999999998,0.2,0.1857,8.5106,0.7277
1,3,sample 1 replicate 3,6,2.349999999999998,0.25,0.2337,10.6383,0.9158
1,3,sample 1 replicate 3,7,2.349999999999998,0.3,0.2713,12.766,1.0631
1,3,sample 1 replicate 3,8,2.349999999999998,0.35,0.3339,14.8936,1.3084
1,3,sample 1 replicate 3,9,2.349999999999998,0.4,0.3777,17.0213,1.48
1,3,sample 1 replicate 3,10,2.349999999999998,0.45,0.4091,19.1489,1.6031
1,3,sample 1 replicate 3,11,2.349999999999998,0.5,0.4884,21.2766,1.9138
1,3,sample 1 replicate 3,12,2.349999999999998,0.55,0.5301,23.4043,2.0772
1,3,sample 1 replicate 3,13,2.349999999999998,0.6,0.5844,25.5319,2.29
1,3,sample 1 replicate 3,14,2.349999999999998,0.65,0.6407,27.6596,2.5106
1,3,sample 1 replicate 3,15,2.349999999999998,0.7,0.6741,29.7872,2.6415
1,3,sample 1 replicate 3,16,2.349999999999998,0.75,0.7388,31.9149,2.895
1,3,sample 1 replicate 3,17,2.349999999999998,0.8,0.7931,34.0426,3.1078
1,3,sample 1 replicate 3,18,2.349999999999998,0.85,0.8432,36.1702,3.3041
1,3,sample 1 replicate 3,19,2.349999999999998,0.9,0.9079,38.2979,3.5576
1,3,sample 1 replicate 3,20,2.349999999999998,0.95,0.9496,40.4255,3.721
1,3,sample 1 replicate 3,21,2.349999999999998,1.0,1.0185,42.5532,3.991
1,3,sample 1 replicate 3,22,2.349999999999998,1.05,1.0894,44.6809,4.2688
1,3,sample 1 replicate 3,23,2.349999999999998,1.1,1.1479,46.8085,4.498
1,3,sample 1 replicate 3,24,2.349999999999998,1.15,1.2209,48.9362,4.7841
1,3,sample 1 replicate 3,25,2.349999999999998,1.2,1.296,51.0638,5.0784
1,3,sample 1 replicate 3,26,2.349999999999998,1.25,1.3691,53.1915,5.3648
1,3,sample 1 replicate 3,27,2.349999999999998,1.3,1.4463,55.3191,5.6673
1,3,sample 1 replicate 3,28,2.349999999999998,1.35,1.5402,57.4468,6.0353
1,3,sample 1 replicate 3,29,2.349999999999998,1.4,1.63,59.5745,6.3871
1,3,sample 1 replicate 3,30,2.349999999999998,1.45,1.7218,61.7021,6.7469
1,3,sample 1 replicate 3,31,2.349999999999998,1.5,1.8282,63.8298,7.1638
1,3,sample 1 replicate 3,32,2.349999999999998,1.55,1.9326,65.9574,7.5729
1,3,sample 1 replicate 3,33,2.349999999999998,1.6,2.0494,68.0851,8.0306
1,3,sample 1 replicate 3,34,2.349999999999998,1.65,2.183,70.2128,8.5541
1,3,sample 1 replicate 3,35,2.349999999999998,1.7,2.3124,72.3404,9.0611
1,3,sample 1 replicate 3,36,2.349999999999998,1.75,2.4543,74.4681,9.6172
1,3,sample 1 replicate 3,37,2.349999999999998,1.8,2.6025,76.5957,10.1979
1,3,sample 1 replicate 3,38,2.349999999999998,1.85,2.7736,78.7234,10.8683
1,3,sample 1 replicate 3,39,2.349999999999998,1.9,2.9656,80.8511,11.6207
1,3,sample 1 replicate 3,40,2.349999999999998,1.95,3.1806,82.9787,12.4632
1,3,sample 1 replicate 3,41,2.349999999999998,2.0,3.4039,85.1064,13.3382
1,3,sample 1 replicate 3,42,2.349999999999998,2.05,3.6919,87.234,14.4667
1,3,sample 1 replicate 3,43,2.349999999999998,2.1,3.9883,89.3617,15.6281
1,3,sample 1 replicate 3,44,2.349999999999998,2.15,1.1666,91.4894,4.5713
2,3,sample 2 replicate 3,1,2.349999999999998,0.0,0.0104,0.0,0.0408
2,3,sample 2 replicate 3,2,2.349999999999998,0.05,0.0209,2.1277,0.0819
2,3,sample 2 replicate 3,3,2.349999999999998,0.1,0.0564,4.2553,0.221
2,3,sample 2 replicate 3,4,2.349999999999998,0.15,0.1043,6.383,0.4087
2,3,sample 2 replicate 3,5,2.349999999999998,0.2,0.1377,8.5106,0.5396
2,3,sample 2 replicate 3,6,2.349999999999998,0.25,0.2066,10.6383,0.8096
2,3,sample 2 replicate 3,7,2.349999999999998,0.3,0.2525,12.766,0.9894
2,3,sample 2 replicate 3,8,2.349999999999998,0.35,0.2797,14.8936,1.096
2,3,sample 2 replicate 3,9,2.349999999999998,0.4,0.3444,17.0213,1.3495
2,3,sample 2 replicate 3,10,2.349999999999998,0.45,0.3944,19.1489,1.5455
2,3,sample 2 replicate 3,11,2.349999999999998,0.5,0.4362,21.2766,1.7092
2,3,sample 2 replicate 3,12,2.349999999999998,0.55,0.5092,23.4043,1.9953
2,3,sample 2 replicate 3,13,2.349999999999998,0.6,0.551,25.5319,2.1591
2,3,sample 2 replicate 3,14,2.349999999999998,0.65,0.6136,27.6596,2.4044
2,3,sample 2 replicate 3,15,2.349999999999998,0.7,0.6637,29.7872,2.6007
2,3,sample 2 replicate 3,16,2.349999999999998,0.75,0.7221,31.9149,2.8295
2,3,sample 2 replicate 3,17,2.349999999999998,0.8,0.7868,34.0426,3.0831
2,3,sample 2 replicate 3,18,2.349999999999998,0.85,0.839,36.1702,3.2876
2,3,sample 2 replicate 3,19,2.349999999999998,0.9,0.8932,38.2979,3.5
2,3,sample 2 replicate 3,20,2.349999999999998,0.95,0.9433,40.4255,3.6963
2,3,sample 2 replicate 3,21,2.349999999999998,1.0,1.0206,42.5532,3.9992
2,3,sample 2 replicate 3,22,2.349999999999998,1.05,1.079,44.6809,4.2281
2,3,sample 2 replicate 3,23,2.349999999999998,1.1,1.152,46.8085,4.5141
2,3,sample 2 replicate 3,24,2.349999999999998,1.15,1.2188,48.9362,4.7759
2,3,sample 2 replicate 3,25,2.349999999999998,1.2,1.2898,51.0638,5.0541
2,3,sample 2 replicate 3,26,2.349999999999998,1.25,1.3733,53.1915,5.3813
2,3,sample 2 replicate 3,27,2.349999999999998,1.3,1.4526,55.3191,5.692
2,3,sample 2 replicate 3,28,2.349999999999998,1.35,1.536,57.4468,6.0188
2,3,sample 2 replicate 3,29,2.349999999999998,1.4,1.6258,59.5745,6.3707
2,3,sample 2 replicate 3,30,2.349999999999998,1.45,1.7239,61.7021,6.7551
2,3,sample 2 replicate 3,31,2.349999999999998,1.5,1.822,63.8298,7.1395
2,3,sample 2 replicate 3,32,2.349999999999998,1.55,1.9368,65.9574,7.5893
2,3,sample 2 replicate 3,33,2.349999999999998,1.6,2.0515,68.0851,8.0388
2,3,sample 2 replicate 3,34,2.349999999999998,1.65,2.1788,70.2128,8.5376
2,3,sample 2 replicate 3,35,2.349999999999998,1.7,2.3103,72.3404,9.0529
2,3,sample 2 replicate 3,36,2.349999999999998,1.75,2.446,74.4681,9.5846
2,3,sample 2 replicate 3,37,2.349999999999998,1.8,2.6004,76.5957,10.1897
2,3,sample 2 replicate 3,38,2.349999999999998,1.85,2.7736,78.7234,10.8683
2,3,sample 2 replicate 3,39,2.349999999999998,1.9,2.9761,80.8511,11.6618
2,3,sample 2 replicate 3,40,2.349999999999998,1.95,3.2057,82.9787,12.5615
2,3,sample 2 replicate 3,41,2.349999999999998,2.0,3.4686,85.1064,13.5917
2,3,sample 2 replicate 3,42,2.349999999999998,2.05,3.7525,87.234,14.7042
